goal,dimension,region_id,score,year
HAB,pressures,6,13.75,2007
HAB,pressures,7,20.64,2007
HAB,pressures,8,20.42,2007
HAB,pressures,9,25.59,2007
HAB,pressures,10,35.84,2007
HAB,pressures,11,32.12,2007
HAB,pressures,0,30.65,2007
HS,pressures,1,17.32,2007
HS,pressures,2,12.62,2007
HS,pressures,3,15.14,2007
HS,pressures,4,16.23,2007
HS,pressures,5,32.46,2007
HS,pressures,6,11.77,2007
HS,pressures,7,14.34,2007
HS,pressures,8,14.97,2007
HS,pressures,9,18.17,2007
HS,pressures,10,28.54,2007
HS,pressures,11,21.97,2007
HS,pressures,0,24.4,2007
ICO,pressures,1,7.22,2007
ICO,pressures,2,8.44,2007
ICO,pressures,3,9.53,2007
ICO,pressures,4,10.94,2007
ICO,pressures,5,27.63,2007
ICO,pressures,6,10.74,2007
ICO,pressures,7,11.1,2007
ICO,pressures,8,9.71,2007
ICO,pressures,9,17.48,2007
ICO,pressures,10,19.43,2007
ICO,pressures,11,11.85,2007
ICO,pressures,0,25.12,2007
LE,pressures,1,NA,2007
LE,pressures,2,NA,2007
LE,pressures,3,NA,2007
LE,pressures,4,NA,2007
LE,pressures,5,NA,2007
LE,pressures,6,NA,2007
LE,pressures,7,NA,2007
LE,pressures,8,NA,2007
LE,pressures,9,NA,2007
LE,pressures,10,NA,2007
LE,pressures,11,NA,2007
LE,pressures,0,NA,2007
LIV,pressures,1,NA,2007
LIV,pressures,2,NA,2007
LIV,pressures,3,NA,2007
LIV,pressures,4,NA,2007
LIV,pressures,5,0,2007
LIV,pressures,6,2.22,2007
LIV,pressures,7,0.84,2007
LIV,pressures,8,0.89,2007
LIV,pressures,9,0.82,2007
LIV,pressures,10,0.32,2007
LIV,pressures,11,0.16,2007
LIV,pressures,0,1.11,2007
LSP,pressures,1,6.6,2007
LSP,pressures,2,19.05,2007
LSP,pressures,3,20.59,2007
LSP,pressures,4,21.68,2007
LSP,pressures,5,27.32,2007
LSP,pressures,6,14.32,2007
LSP,pressures,7,23.32,2007
LSP,pressures,8,21.61,2007
LSP,pressures,9,30.82,2007
LSP,pressures,10,35.97,2007
LSP,pressures,11,33.05,2007
LSP,pressures,0,24.19,2007
MAR,pressures,1,9.29,2007
MAR,pressures,2,12.01,2007
MAR,pressures,3,13.6,2007
MAR,pressures,4,14.18,2007
MAR,pressures,5,35.92,2007
MAR,pressures,6,12.11,2007
MAR,pressures,7,14.11,2007
MAR,pressures,8,13.66,2007
MAR,pressures,9,18.06,2007
MAR,pressures,10,30.13,2007
MAR,pressures,11,17.88,2007
MAR,pressures,0,34.98,2007
RAO,pressures,1,7.19,2007
RAO,pressures,2,11.99,2007
RAO,pressures,3,13.2,2007
RAO,pressures,4,14.99,2007
RAO,pressures,5,25.67,2007
RAO,pressures,6,14.69,2007
RAO,pressures,7,17.19,2007
RAO,pressures,8,14.67,2007
RAO,pressures,9,28.18,2007
RAO,pressures,10,24.8,2007
RAO,pressures,11,20.05,2007
RAO,pressures,0,21.88,2007
SP,pressures,1,NA,2007
SP,pressures,2,NA,2007
SP,pressures,3,NA,2007
SP,pressures,4,NA,2007
SP,pressures,5,NA,2007
SP,pressures,6,NA,2007
SP,pressures,7,NA,2007
SP,pressures,8,NA,2007
SP,pressures,9,NA,2007
SP,pressures,10,NA,2007
SP,pressures,11,NA,2007
SP,pressures,0,NA,2007
SPFIS,pressures,1,5.74,2007
SPFIS,pressures,2,11.9,2007
SPFIS,pressures,3,12.92,2007
SPFIS,pressures,4,14.82,2007
SPFIS,pressures,5,22.22,2007
SPFIS,pressures,6,13.01,2007
SPFIS,pressures,7,15.49,2007
SPFIS,pressures,8,12,2007
SPFIS,pressures,9,28.81,2007
SPFIS,pressures,10,19.13,2007
SPFIS,pressures,11,15.98,2007
SPFIS,pressures,0,19.3,2007
SPP,pressures,1,7.22,2007
SPP,pressures,2,8.44,2007
SPP,pressures,3,9.53,2007
SPP,pressures,4,10.94,2007
SPP,pressures,5,27.63,2007
SPP,pressures,6,10.74,2007
SPP,pressures,7,11.1,2007
SPP,pressures,8,9.71,2007
SPP,pressures,9,17.48,2007
SPP,pressures,10,19.43,2007
SPP,pressures,11,11.85,2007
SPP,pressures,0,25.12,2007
TR,pressures,1,0.1,2007
TR,pressures,2,2.78,2007
TR,pressures,3,2.65,2007
TR,pressures,4,5.05,2007
TR,pressures,5,19.22,2007
TR,pressures,6,9.37,2007
TR,pressures,7,10.72,2007
TR,pressures,8,9.74,2007
TR,pressures,9,22.17,2007
TR,pressures,10,21.86,2007
TR,pressures,11,13.52,2007
TR,pressures,0,14.27,2007
BD,pressures,1,NA,2008
BD,pressures,2,NA,2008
BD,pressures,3,NA,2008
BD,pressures,4,NA,2008
BD,pressures,5,NA,2008
BD,pressures,6,NA,2008
BD,pressures,7,NA,2008
BD,pressures,8,NA,2008
BD,pressures,9,NA,2008
BD,pressures,10,NA,2008
BD,pressures,11,NA,2008
BD,pressures,0,NA,2008
CW,pressures,1,22.7,2008
CW,pressures,2,12.36,2008
CW,pressures,3,16.59,2008
CW,pressures,4,18.96,2008
CW,pressures,5,58.48,2008
CW,pressures,6,25.9,2008
CW,pressures,7,29.42,2008
CW,pressures,8,34.56,2008
CW,pressures,9,42.58,2008
CW,pressures,10,55.3,2008
CW,pressures,11,47.24,2008
CW,pressures,0,42.68,2008
ECO,pressures,1,NA,2008
ECO,pressures,2,NA,2008
ECO,pressures,3,NA,2008
ECO,pressures,4,NA,2008
ECO,pressures,5,13.17,2008
ECO,pressures,6,6.71,2008
ECO,pressures,7,14.86,2008
ECO,pressures,8,13.66,2008
ECO,pressures,9,8.42,2008
ECO,pressures,10,11.64,2008
ECO,pressures,11,13.38,2008
ECO,pressures,0,10.93,2008
FIS,pressures,1,7.18,2008
FIS,pressures,2,14.01,2008
FIS,pressures,3,12.76,2008
FIS,pressures,4,13.93,2008
FIS,pressures,5,27.21,2008
FIS,pressures,6,12.34,2008
FIS,pressures,7,17.64,2008
FIS,pressures,8,13.18,2008
FIS,pressures,9,16.6,2008
FIS,pressures,10,20.76,2008
FIS,pressures,11,15.47,2008
FIS,pressures,0,25.32,2008
FP,pressures,1,NA,2008
FP,pressures,2,NA,2008
FP,pressures,3,NA,2008
FP,pressures,4,NA,2008
FP,pressures,5,NA,2008
FP,pressures,6,NA,2008
FP,pressures,7,NA,2008
FP,pressures,8,NA,2008
FP,pressures,9,NA,2008
FP,pressures,10,NA,2008
FP,pressures,11,NA,2008
FP,pressures,0,NA,2008
HAB,pressures,1,5.44,2008
HAB,pressures,2,25.66,2008
HAB,pressures,3,27.86,2008
HAB,pressures,4,28.92,2008
HAB,pressures,5,50.56,2008
HAB,pressures,6,18.27,2008
HAB,pressures,7,29.92,2008
HAB,pressures,8,31.3,2008
HAB,pressures,9,29.72,2008
HAB,pressures,10,43.84,2008
HAB,pressures,11,41.32,2008
HAB,pressures,0,39.39,2008
HS,pressures,1,22.7,2008
HS,pressures,2,12.36,2008
HS,pressures,3,16.59,2008
HS,pressures,4,18.96,2008
HS,pressures,5,47.5,2008
HS,pressures,6,17.49,2008
HS,pressures,7,29.3,2008
HS,pressures,8,30.53,2008
HS,pressures,9,25.13,2008
HS,pressures,10,41.42,2008
HS,pressures,11,36.6,2008
HS,pressures,0,36.61,2008
ICO,pressures,1,9.33,2008
ICO,pressures,2,9.79,2008
ICO,pressures,3,9.85,2008
ICO,pressures,4,11.04,2008
ICO,pressures,5,32.49,2008
ICO,pressures,6,12.5,2008
ICO,pressures,7,16.84,2008
ICO,pressures,8,14.53,2008
ICO,pressures,9,13.65,2008
ICO,pressures,10,23.7,2008
ICO,pressures,11,15.17,2008
ICO,pressures,0,30.04,2008
LE,pressures,1,NA,2008
LE,pressures,2,NA,2008
LE,pressures,3,NA,2008
LE,pressures,4,NA,2008
LE,pressures,5,NA,2008
LE,pressures,6,NA,2008
LE,pressures,7,NA,2008
LE,pressures,8,NA,2008
LE,pressures,9,NA,2008
LE,pressures,10,NA,2008
LE,pressures,11,NA,2008
LE,pressures,0,NA,2008
LIV,pressures,1,NA,2008
LIV,pressures,2,NA,2008
LIV,pressures,3,NA,2008
LIV,pressures,4,NA,2008
