goal,dimension,region_id,score,year
LIV,resilience,10,59.22,2007
LIV,resilience,11,64.33,2007
LIV,resilience,0,58.35,2007
LSP,resilience,1,NA,2007
LSP,resilience,2,NA,2007
LSP,resilience,3,NA,2007
LSP,resilience,4,NA,2007
LSP,resilience,5,63.25,2007
LSP,resilience,6,62.38,2007
LSP,resilience,7,70.83,2007
LSP,resilience,8,69.08,2007
LSP,resilience,9,61.36,2007
LSP,resilience,10,59.22,2007
LSP,resilience,11,64.33,2007
LSP,resilience,0,58.35,2007
MAR,resilience,1,NA,2007
MAR,resilience,2,NA,2007
MAR,resilience,3,NA,2007
MAR,resilience,4,NA,2007
MAR,resilience,5,63.25,2007
MAR,resilience,6,62.38,2007
MAR,resilience,7,70.83,2007
MAR,resilience,8,69.08,2007
MAR,resilience,9,61.36,2007
MAR,resilience,10,59.22,2007
MAR,resilience,11,64.33,2007
MAR,resilience,0,58.35,2007
RAO,resilience,1,NA,2007
RAO,resilience,2,NA,2007
RAO,resilience,3,NA,2007
RAO,resilience,4,NA,2007
RAO,resilience,5,63.25,2007
RAO,resilience,6,62.38,2007
RAO,resilience,7,70.83,2007
RAO,resilience,8,69.08,2007
RAO,resilience,9,61.36,2007
RAO,resilience,10,59.22,2007
RAO,resilience,11,64.33,2007
RAO,resilience,0,58.35,2007
SP,resilience,1,NA,2007
SP,resilience,2,NA,2007
SP,resilience,3,NA,2007
SP,resilience,4,NA,2007
SP,resilience,5,NA,2007
SP,resilience,6,NA,2007
SP,resilience,7,NA,2007
SP,resilience,8,NA,2007
SP,resilience,9,NA,2007
SP,resilience,10,NA,2007
SP,resilience,11,NA,2007
SP,resilience,0,NA,2007
SPFIS,resilience,1,NA,2007
SPFIS,resilience,2,NA,2007
SPFIS,resilience,3,NA,2007
SPFIS,resilience,4,NA,2007
SPFIS,resilience,5,63.25,2007
SPFIS,resilience,6,62.38,2007
SPFIS,resilience,7,70.83,2007
SPFIS,resilience,8,69.08,2007
SPFIS,resilience,9,61.36,2007
SPFIS,resilience,10,59.22,2007
SPFIS,resilience,11,64.33,2007
SPFIS,resilience,0,58.35,2007
SPP,resilience,1,NA,2007
SPP,resilience,2,NA,2007
SPP,resilience,3,NA,2007
SPP,resilience,4,NA,2007
SPP,resilience,5,63.25,2007
SPP,resilience,6,62.38,2007
SPP,resilience,7,70.83,2007
SPP,resilience,8,69.08,2007
SPP,resilience,9,61.36,2007
SPP,resilience,10,59.22,2007
SPP,resilience,11,64.33,2007
SPP,resilience,0,58.35,2007
TR,resilience,1,NA,2007
TR,resilience,2,NA,2007
TR,resilience,3,NA,2007
TR,resilience,4,NA,2007
TR,resilience,5,63.25,2007
TR,resilience,6,62.38,2007
TR,resilience,7,70.83,2007
TR,resilience,8,69.08,2007
TR,resilience,9,61.36,2007
TR,resilience,10,59.22,2007
TR,resilience,11,64.33,2007
TR,resilience,0,58.35,2007
NA,resilience,1,NA,2007
NA,resilience,2,NA,2007
NA,resilience,3,NA,2007
NA,resilience,4,NA,2007
BD,resilience,1,NA,2008
BD,resilience,2,NA,2008
BD,resilience,3,NA,2008
BD,resilience,4,NA,2008
BD,resilience,5,NA,2008
BD,resilience,6,NA,2008
BD,resilience,7,NA,2008
BD,resilience,8,NA,2008
BD,resilience,9,NA,2008
BD,resilience,10,NA,2008
BD,resilience,11,NA,2008
BD,resilience,0,NA,2008
CW,resilience,1,NA,2008
CW,resilience,2,NA,2008
CW,resilience,3,NA,2008
CW,resilience,4,NA,2008
CW,resilience,5,NA,2008
CW,resilience,6,NA,2008
CW,resilience,7,NA,2008
CW,resilience,8,NA,2008
CW,resilience,9,NA,2008
CW,resilience,10,NA,2008
CW,resilience,11,NA,2008
CW,resilience,0,NA,2008
ECO,resilience,1,NA,2008
ECO,resilience,2,NA,2008
ECO,resilience,3,NA,2008
ECO,resilience,4,NA,2008
ECO,resilience,5,69.7,2008
ECO,resilience,6,64.38,2008
ECO,resilience,7,65.23,2008
ECO,resilience,8,63.48,2008
