"sciname","score","year"
"parabrotula plagiophthalma",NA,2017
"alepocephalus agassizii",NA,2017
"alepocephalus australis",0,2017
"alepocephalus bairdii",NA,2017
"alepocephalus productus",NA,2017
"bajacalifornia megalops",NA,2017
"bathyprion danae",NA,2017
"bathytroctes macrolepis",NA,2017
"bathytroctes michaelsarsi",NA,2017
"bathytroctes microlepis",NA,2017
"einara edentula",NA,2017
"einara macrolepis",NA,2017
"narcetes stomias",0,2017
"photostylus pycnopterus",NA,2017
"rouleina attrita",NA,2017
"rouleina maderensis",NA,2017
"talismania antillarum",NA,2017
"xenodermichthys copei",NA,2017
"argentina striata",NA,2017
"bathylagichthys greyae",NA,2017
"dolicholagus longirostris",NA,2017
"melanolagus bericoides",NA,2017
"nansenia longicauda",NA,2017
"nansenia megalopa",NA,2017
"dolichopteroides binocularis",NA,2017
"opisthoproctus soleatus",NA,2017
"rhynchohyalus natalensis",NA,2017
"maulisia mauli",NA,2017
"maulisia microlepis",NA,2017
"mentodus facilis",NA,2017
"normichthys operosus",-0.025,2017
"bembrops gobioides",NA,2017
"polyprion americanus",NA,2017
"pomatomus saltatrix",-0.025,2017
"priacanthus arenatus",NA,2017
"cookeolus japonicus",NA,2017
"sphoeroides maculatus",-0.025,2017
"sphoeroides pachygaster",NA,2017
"lagocephalus laevigatus",NA,2017
"lagocephalus lagocephalus",NA,2017
"sphoeroides spengleri",NA,2017
"sphoeroides testudineus",NA,2017
"rachycentron canadum",NA,2017
"eretmochelys imbricata",-0.025,2017
"dermochelys coriacea",-0.025,2017
"chelonia mydas",-0.025,2017
"lepidochelys olivacea",-0.025,2017
"caretta caretta",-0.025,2017
"cyema atrum",NA,2017
"eurypharynx pelecanoides",NA,2017
"bairdiella chrysoura",NA,2017
"cynoscion nebulosus",0.025,2017
"larimus fasciatus",0,2017
"leiostomus xanthurus",NA,2017
"menticirrhus americanus",NA,2017
"menticirrhus saxatilis",0,2017
"micropogonias undulatus",NA,2017
"pogonias cromis",-0.025,2017
"scombrolabrax heterolepis",-0.025,2017
"pagrus pagrus",NA,2017
"archosargus probatocephalus",0,2017
"lagodon rhomboides",0,2017
"calamus bajonado",NA,2017
"archosargus rhomboidalis",NA,2017
"stenotomus chrysops",-0.025,2017
"molpadiodemas atlanticus",NA,2017
"paelopatides gigantea",NA,2017
"mesothuria lactea",NA,2017
"zostera marina",-0.025,2017
"anthias nicholsi",NA,2017
"baldwinella aureorubens",NA,2017
"centropristis striata",0,2017
"sphyraena barracuda",NA,2017
"sphyraena borealis",NA,2017
"sphyraena guachancho",NA,2017
"argyropelecus aculeatus",NA,2017
"argyropelecus affinis",NA,2017
"argyropelecus gigas",NA,2017
"argyropelecus hemigymnus",0,2017
"argyropelecus sladeni",NA,2017
"aristostomias lunifer",NA,2017
"aristostomias polydactylus",NA,2017
"aristostomias tittmanni",NA,2017
"astronesthes gemmifer",NA,2017
"astronesthes leucopogon",NA,2017
"astronesthes niger",NA,2017
"astronesthes richardsoni",NA,2017
"bathophilus brevis",NA,2017
"bathophilus digitatus",NA,2017
"bathophilus metallicus",NA,2017
"bathophilus vaillanti",NA,2017
"bonapartia pedaliota",NA,2017
"borostomias antarcticus",NA,2017
"chauliodus danae",NA,2017
"chauliodus sloani",NA,2017
"cyclothone acclinidens",0,2017
"cyclothone alba",0,2017
"cyclothone braueri",0,2017
"cyclothone microdon",0,2017
"cyclothone pallida",0,2017
"cyclothone pseudopallida",0,2017
"echiostoma barbatum",NA,2017
"eustomias bibulbosus",NA,2017
"eustomias bigelowi",NA,2017
"eustomias macrurus",NA,2017
"eustomias obscurus",NA,2017
"eustomias polyaster",NA,2017
"eustomias satterleei",NA,2017
"eustomias simplex",NA,2017
"flagellostomias boureei",NA,2017
"peprilus paru",NA,2017
"acanthurus chirurgus",0,2017
"acanthurus coeruleus",0,2017
"lontra canadensis",0,2017
"tetragonurus atlanticus",NA,2017
"tetragonurus cuvieri",0,2017
"thunnus alalunga",-0.025,2017
"thunnus albacares",-0.025,2017
"thunnus obesus",-0.025,2017
"thunnus thynnus",-0.025,2017
"makaira nigricans",-0.025,2017
"xiphias gladius",-0.025,2017
"sarda sarda",0,2017
"thunnus atlanticus",0,2017
"scomberomorus cavalla",0,2017
"scomberomorus maculatus",NA,2017
"euthynnus alletteratus",0,2017
"scomber scombrus",-0.025,2017
"kajikia albida",-0.025,2017
"scomberomorus regalis",NA,2017
"tetrapturus georgii",NA,2017
"istiophorus platypterus",NA,2017
"auxis thazard",0,2017
"auxis rochei",0,2017
"tetrapturus pfluegeri",0,2017
"katsuwonus pelamis",0,2017
"astroscopus guttatus",NA,2017
"tautoga onitis",-0.025,2017
"tautogolabrus adspersus",NA,2017
"sparisoma rubripinne",NA,2017
"melanostigma atlanticum",NA,2017
"pachycara bulbiceps",NA,2017
"charadrius semipalmatus",0,2017
"fulica americana",-0.025,2017
"charadrius vociferus",-0.025,2017
"chlidonias niger",-0.025,2017
"chordeiles minor",-0.025,2017
"clangula hyemalis",-0.025,2017
"hydrocoloeus minutus",0.025,2017
"egretta thula",0.025,2017
"gavia stellata",-0.025,2017
"nycticorax nycticorax",-0.025,2017
"falco columbarius",0,2017
"falco peregrinus",0,2017
"gavia immer",0,2017
"histrionicus histrionicus",0.025,2017
"hydrobates castro",-0.025,2017
"hydrobates leucorhous",-0.025,2017
"ixobrychus exilis",0,2017
