scenario_year,layer_name,data_year
2008,wgi_all,2010
2009,wgi_all,2010
2010,wgi_all,2010
2011,wgi_all,2010
2012,wgi_all,2010
2013,wgi_all,2011
2014,wgi_all,2012
2015,wgi_all,2013
2016,wgi_all,2014
2017,wgi_all,2015
2005,spp_rgns,2017
2006,spp_rgns,2017
2007,spp_rgns,2017
2008,spp_rgns,2017
2009,spp_rgns,2017
2010,spp_rgns,2017
2011,spp_rgns,2017
2012,spp_rgns,2017
2013,spp_rgns,2017
2014,spp_rgns,2017
2015,spp_rgns,2017
2016,spp_rgns,2017
2017,spp_rgns,2017
2005,spp_status_scores,2017
2006,spp_status_scores,2017
2007,spp_status_scores,2017
2008,spp_status_scores,2017
2009,spp_status_scores,2017
2010,spp_status_scores,2017
2011,spp_status_scores,2017
2012,spp_status_scores,2017
2013,spp_status_scores,2017
2014,spp_status_scores,2017
2015,spp_status_scores,2017
2016,spp_status_scores,2017
2017,spp_status_scores,2017
2005,spp_trend,2017
2006,spp_trend,2017
2007,spp_trend,2017
2008,spp_trend,2017
2009,spp_trend,2017
2010,spp_trend,2017
2011,spp_trend,2017
2012,spp_trend,2017
2013,spp_trend,2017
2014,spp_trend,2017
2015,spp_trend,2017
2016,spp_trend,2017
2017,spp_trend,2017
